Assessment Name,URL,Full Page Content
Products,https://www.shl.com/products/,"This Website Uses Cookies
We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.
 View our full SHL Privacy Statement or SHL Cookie Policy
Show details































Allow all cookies
Customize
Use necessary cookies only
Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
HR Priorities
Explore the latest HR priorities and insights on workforce trends.
AI at Work
AI Readiness
Skills-Based Organizations
Skills-Based Hiring
Skills-Based Talent Management
Decisions with People Data
Manager and Leader Development
Point of View Paper
Harnessing AI in Talent Assessment
Choosing the right AI partner means the difference between progress and risk. Explore SHL's approach to transparent AI in assessment – what we offer, how it works, and why it matters.
Read Paper
Resources
About
Book a Demo






Home
Products
SHL Products
Get the ultimate view of potential with SHL’s unmatched portfolio of assessments and interview technology.
Speak With Our Team

Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,"Search
Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Account Manager Solution
Description
The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.
Job levels
Mid-Professional,
Languages
English (USA),
Assessment length
Approximate Completion Time in minutes = 49
Test Type:
C
P
A
B
Remote Testing:
Downloads
Product Flyer (USE)
English (USA)
Accelerate Your Talent Strategy
Speak to our team today to see how our products transform talent strategy.
Book a Demo
Back to Product Catalog
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,"Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Administrative Professional - Short Form
Description
The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.
Job levels
Entry-Level,
Languages
English (USA),
Assessment length
Approximate Completion Time in minutes = 36
Test Type:
A
K
P
Remote Testing:
Downloads
Product Fact Sheet
English (USA)
Accelerate Your Talent Strategy
Speak to our team today to see how our products transform talent strategy.
Book a Demo
Back to Product Catalog
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,"Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Agency Manager Solution
Description
The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department. Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.
Job levels
Front Line Manager, Manager, Supervisor,
Languages
English (USA),
Assessment length
Approximate Completion Time in minutes = 51
Test Type:
A
B
P
S
Remote Testing:
Downloads
Product fact sheet
English (USA)
Accelerate Your Talent Strategy
Speak to our team today to see how our products transform talent strategy.
Book a Demo
Back to Product Catalog
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Apprentice + 8.0 Job Focused Assessment
Description
The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.
Job levels
General Population, Graduate, Entry-Level,
Languages
English International, German,
Assessment length
Approximate Completion Time in minutes = 30
Test Type:
B
P
Remote Testing:
Downloads
Detailed Report
English International
Candidate Report
English International
Interview Report
English International
Fact Sheet
English International
Candidate Report
German
Interview Report
German
Detailed Report
German
Accelerate Your Talent Strategy
Speak to our team today to see how our products transform talent strategy.
Book a Demo
Back to Product Catalog
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Apprentice 8.0 Job Focused Assessment
Description
The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.
Job levels
Entry-Level, General Population, Graduate,
Languages
English International, German, French,
Assessment length
Approximate Completion Time in minutes = 20
Test Type:
B
P
Remote Testing:
Downloads
Fact Sheet
English International
Candidate Report
English International
Detailed Report
English International
Interview Report
English International
Candidate Report
German
Detailed Report
German
Interview Report
German
Accelerate Your Talent Strategy
Speak to our team today to see how our products transform talent strategy.
Book a Demo
Back to Product Catalog
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,"Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Bank Administrative Assistant - Short Form
Description
The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.
Job levels
Entry-Level,
Languages
English (USA),
Assessment length
Approximate Completion Time in minutes = 35
Test Type:
A
B
K
P
Remote Testing:
Downloads
Product Fact Sheet
English International
Accelerate Your Talent Strategy
Speak to our team today to see how our products transform talent strategy.
Book a Demo
Back to Product Catalog
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,"Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Bank Collections Agent - Short Form
Description
This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.
Job levels
Entry-Level,
Languages
English (USA),
Assessment length
Approximate Completion Time in minutes = 45
Test Type:
A
B
P
Remote Testing:
Downloads
Fact Sheet Bank Collections Agent One Sitting
English (USA)
Accelerate Your Talent Strategy
Speak to our team today to see how our products transform talent strategy.
Book a Demo
Back to Product Catalog
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,"Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Bank Operations Supervisor - Short Form
Description
The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.
Job levels
Front Line Manager, Manager, Supervisor,
Languages
English (USA),
Assessment length
Approximate Completion Time in minutes = 45
Test Type:
A
B
P
S
Remote Testing:
Downloads
Product Fact Sheet
English (USA)
Accelerate Your Talent Strategy
Speak to our team today to see how our products transform talent strategy.
Book a Demo
Back to Product Catalog
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Bilingual Spanish Reservation Agent Solution
Description
The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.
Job levels
Entry-Level,
Languages
English (USA), Latin American Spanish,
Assessment length
Approximate Completion Time in minutes = 43
Test Type:
B
P
S
A
Remote Testing:
Downloads
Product Fact Sheet
English (USA)
Accelerate Your Talent Strategy
Speak to our team today to see how our products transform talent strategy.
Book a Demo
Back to Product Catalog
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
